# Time-averaged data for fix COMOUT
# TimeStep c_COM[1] c_COM[2] c_COM[3]
32700 21.9507 -2.17547 -0.177622
32800 21.9285 -2.12533 -0.166726
32900 22.0137 -2.04477 -0.170615
33000 22.1402 -1.97177 -0.213667
33100 22.2137 -1.97286 -0.304261
33200 22.1934 -1.92784 -0.391676
33300 22.225 -1.93734 -0.470854
33400 22.24 -1.94409 -0.48283
33500 22.1911 -1.96125 -0.492969
33600 22.1949 -1.99631 -0.574608
33700 22.255 -1.97283 -0.659519
33800 22.3265 -1.9725 -0.689658
33900 22.4436 -2.03649 -0.673003
34000 22.625 -2.17155 -0.659466
34100 22.8052 -2.23553 -0.714143
34200 22.864 -2.25739 -0.713451
34300 22.9405 -2.27457 -0.659506
34400 23.0203 -2.27295 -0.568036
34500 23.1161 -2.21834 -0.541921
34600 23.0889 -2.22517 -0.557155
34700 22.991 -2.2352 -0.481572
34800 22.9908 -2.29885 -0.481094
34900 23.0606 -2.47098 -0.509698
35000 23.1949 -2.44143 -0.523794
35100 23.2548 -2.32729 -0.639054
35200 23.2538 -2.22588 -0.743143
35300 23.3044 -2.13529 -0.822005
35400 23.3155 -2.07733 -0.86073
35500 23.3355 -1.99301 -0.912051
35600 23.2717 -1.97762 -0.947686
35700 23.2029 -1.99652 -1.02387
35800 23.1835 -2.018 -1.06376
35900 23.2449 -2.04139 -1.10488
36000 23.222 -1.97378 -1.10043
36100 23.2048 -1.92419 -1.09204
36200 23.2015 -1.98236 -1.09486
36300 23.2659 -2.02274 -1.12935
36400 23.2761 -2.11136 -1.18422
36500 23.3587 -2.16793 -1.25617
36600 23.5161 -2.25333 -1.21553
36700 23.6063 -2.356 -1.27468
36800 23.6857 -2.41179 -1.32073
36900 23.7223 -2.5125 -1.32367
37000 23.763 -2.59423 -1.3399
37100 23.8553 -2.65607 -1.20679
37200 23.8674 -2.72435 -1.09126
37300 23.8729 -2.73318 -1.05938
37400 23.8535 -2.75744 -1.01869
37500 23.8852 -2.69592 -0.966362
37600 23.9485 -2.75602 -1.04258
37700 24.0078 -2.85906 -1.11684
37800 24.0625 -2.87038 -1.20737
37900 24.0624 -2.90876 -1.23531
38000 24.0473 -2.97462 -1.22396
38100 23.9728 -3.06377 -1.10427
38200 23.8568 -3.18308 -1.09564
38300 23.761 -3.21487 -1.15896
38400 23.7828 -3.14206 -1.16159
38500 23.8242 -3.13316 -1.08568
38600 23.8071 -3.11362 -1.05956
38700 23.7691 -3.08882 -1.03279
38800 23.7572 -3.07381 -1.09555
38900 23.7869 -3.09689 -1.08479
39000 23.8467 -3.16664 -1.06675
39100 23.8559 -3.13152 -1.01583
39200 23.86 -3.13074 -1.05348
39300 23.9259 -3.17977 -1.06185
39400 23.9693 -3.24858 -1.02876
39500 24.0463 -3.33488 -0.847836
39600 24.1119 -3.35857 -0.651309
39700 24.0408 -3.37873 -0.557597
39800 23.9661 -3.41539 -0.554735
39900 23.8399 -3.48578 -0.649933
40000 23.7034 -3.54107 -0.815531
40100 23.6079 -3.5207 -0.872261
40200 23.6116 -3.47899 -0.899642
40300 23.6548 -3.45737 -0.988719
40400 23.6387 -3.4458 -1.16698
40500 23.6894 -3.46112 -1.26383
40600 23.7529 -3.49565 -1.27968
40700 23.8137 -3.49961 -1.18702
40800 23.745 -3.4526 -1.09096
40900 23.7271 -3.43508 -1.00128
41000 23.6721 -3.51583 -0.984174
41100 23.6457 -3.61858 -1.00005
41200 23.6568 -3.66889 -0.995641
41300 23.6748 -3.66711 -0.991518
41400 23.685 -3.64339 -1.02793
41500 23.6851 -3.61687 -1.07444
41600 23.5795 -3.63435 -1.11576
41700 23.4805 -3.69261 -1.10181
41800 23.4628 -3.74532 -1.1198
41900 23.4427 -3.83325 -1.10033
42000 23.4431 -3.88657 -1.05855
42100 23.4759 -3.90262 -0.993019
42200 23.4379 -3.92946 -0.990404
42300 23.3729 -3.90765 -1.03983
42400 23.4082 -3.85789 -1.04765
42500 23.4272 -3.82873 -0.987836
42600 23.4467 -3.80353 -0.952609
42700 23.3873 -3.78339 -0.951184
42800 23.3687 -3.81034 -0.902873
42900 23.3552 -3.85981 -0.931516
43000 23.4089 -3.93284 -0.985429
43100 23.3855 -3.96245 -0.968878
43200 23.4388 -3.96424 -0.931406
43300 23.4774 -3.90632 -0.868675
43400 23.4733 -3.87654 -0.823267
43500 23.4475 -3.95505 -0.841568
43600 23.3588 -4.01038 -0.923236
43700 23.392 -4.02406 -0.987535
43800 23.4636 -4.1177 -0.927394
43900 23.4901 -4.22388 -0.904121
44000 23.517 -4.22564 -0.879438
44100 23.6272 -4.20486 -0.788822
44200 23.7142 -4.18953 -0.690448
44300 23.7522 -4.19698 -0.699354
44400 23.7428 -4.27673 -0.740755
44500 23.715 -4.42944 -0.785915
44600 23.7402 -4.47647 -0.845619
44700 23.7666 -4.48691 -0.809331
44800 23.8976 -4.41893 -0.833384
44900 24.0015 -4.32647 -0.795339
45000 24.0092 -4.25625 -0.745983
45100 23.9417 -4.21955 -0.667472
45200 23.8335 -4.22052 -0.671797
45300 23.7483 -4.34042 -0.722985
45400 23.7246 -4.41003 -0.740555
45500 23.826 -4.38144 -0.773433
45600 23.9126 -4.30985 -0.758494
45700 23.9424 -4.28886 -0.806891
45800 23.9039 -4.30903 -0.87649
45900 23.8646 -4.37977 -0.916964
46000 23.8882 -4.44392 -1.02103
46100 23.9108 -4.47545 -1.09268
46200 24.0097 -4.42643 -1.21542
46300 24.0309 -4.58335 -1.33701
46400 24.072 -4.63117 -1.3373
46500 24.0996 -4.69811 -1.36933
46600 24.1454 -4.83479 -1.34532
46700 24.1287 -4.93119 -1.37977
46800 24.011 -5.12643 -1.41607
46900 23.8426 -5.18073 -1.41574
47000 23.7936 -5.14964 -1.42421
47100 23.8294 -5.12612 -1.41196
47200 23.8516 -5.2146 -1.29457
47300 23.9028 -5.18645 -1.2828
47400 23.9475 -5.14482 -1.37229
47500 23.9466 -5.12048 -1.40754
47600 23.9578 -5.02169 -1.34938
47700 23.9388 -4.97149 -1.28839
47800 23.915 -4.99268 -1.23705
47900 23.883 -4.99896 -1.18801
48000 23.949 -5.06927 -1.17498
48100 24.022 -5.11077 -1.08634
48200 24.0684 -5.10784 -1.0083
48300 24.1262 -5.12557 -0.979237
48400 24.1539 -5.16454 -0.979553
48500 24.1551 -5.18172 -0.968734
48600 24.0464 -5.19548 -1.03529
48700 23.9615 -5.31271 -1.08042
48800 24.0344 -5.41584 -1.16769
48900 24.092 -5.43128 -1.29612
49000 24.0852 -5.4601 -1.3941
49100 24.1461 -5.39927 -1.49945
